code,iso_a2,count
ARE,AE,105
ARG,AR,9
AUT,AT,64
AUS,AU,243
BEL,BE,98
BGR,BG,3
BRA,BR,4509
CAN,CA,1271
CHE,CH,131
CIV,CI,17
CHL,CL,515
CHN,CN,8181
COL,CO,1073
CRI,CR,837
CZE,CZ,14
DEU,DE,1274
DNK,DK,17
EST,EE,1
ESP,ES,656
FIN,FI,10
FRA,FR,9515
GBR,GB,800
HKG,HK,129
HRV,HR,9
HUN,HU,10
IDN,ID,31
IRL,IE,438
ISR,IL,28
IND,IN,4969
ITA,IT,678
JPN,JP,32
KEN,KE,3
KOR,KR,143
LAO,LA,5
LKA,LK,54
MAR,MA,36
MEX,MX,3131
MYS,MY,135
NLD,NL,224
NOR,NO,18
NZL,NZ,3
PHL,PH,2416
POL,PL,610
PRI,PR,230
PRT,PT,317
ROU,RO,4
SRB,RS,1
RUS,RU,14
SAU,SA,5
SWE,SE,80
SGP,SG,350
SVN,SI,1
SVK,SK,6
THA,TH,5142
TUN,TN,9
TUR,TR,74
TWN,TW,202
USA,US,10447
VNM,VN,2
ZAF,ZA,273
